Date;price_ram;Price_gold;processnodes(nm);AMDOpen;AMDHigh;AMDLow;AMDClose;AMDAdjClose;AMDVolume;IntelOpen;IntelHigh;IntelLow;IntelClose;IntelAdjClose;IntelVolume;MicrosoftOpen;MicrosoftHigh;MicrosoftLow;MicrosoftClose;MicrosoftAdjClose;MicrosoftVolume;Micronopen;Micronhigh;Micronlow;Micronclose;Micronvolume;hynixOpen;hynixClose;hynixHigh;hynixLow;Volume;SamsungOpen;SamsungHigh;SamsungLow;SamsungClose;SamsungVolume;tupe_ram;max_stick;maks_desktop_gb
1978-07;16000;188.569;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-08;15733.33333;206.455;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-09;15466.66667;212.212;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-10;15200;227.432;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-11;13642.66667;207.082;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-12;12085.33333;207.895;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-01;10528;226.986;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-02;10103.11111;245.590;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-03;9678.222222;242.348;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-04;9253.333333;239.174;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-05;8828.444444;257.738;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-06;8403.555556;279.360;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-07;7978.666667;295.009;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-08;7553.777778;300.793;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-09;7128.888889;354.498;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-10;6704;390.959;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-11;6629.333333;391.518;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979-12;6554.666667;463.666;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
